Project Name,Package Name,Architecture Smell,Cause of the Smell
.,org.java_websocket.drafts,Cyclic Dependency,The tool detected the smell in this component because this component participates in a cyclic dependency. The participating components in the cycle are: org.java_websocket.drafts; org.java_websocket.protocols; org.java_websocket.drafts
.,org.java_websocket.exceptions,Feature Concentration,The tool detected the smell in this component because the component realizes more than one architectural concern/feature. Independent sets of related classes within this component are: [IncompleteException; IncompleteExceptionTest]; [IncompleteHandshakeException; IncompleteHandshakeExceptionTest]; [InvalidDataException; InvalidFrameException; InvalidHandshakeException; LimitExceededException; InvalidDataExceptionTest; InvalidFrameExceptionTest; InvalidHandshakeExceptionTest; LimitExceededExceptionTest]; [InvalidEncodingException; InvalidEncodingExceptionTest]; [NotSendableException; NotSendableExceptionTest]; [WebsocketNotConnectedException; WebsocketNotConnectedExceptionTest]; [WrappedIOException]; [AllExceptionsTests]. LCC (Lack of Component Cohesion) = 0.4
.,org.java_websocket.extensions,Feature Concentration,The tool detected the smell in this component because the component realizes more than one architectural concern/feature. Independent sets of related classes within this component are: [CompressionExtension; DefaultExtension; IExtension; CompressionExtensionTest.CustomCompressionExtension; DefaultExtensionTest; PerMessageDeflateExtensionTest]; [ExtensionRequestData]; [AllExtensionTests]; [CompressionExtensionTest]. LCC (Lack of Component Cohesion) = 0.44
.,org.java_websocket.extensions,Cyclic Dependency,The tool detected the smell in this component because this component participates in a cyclic dependency. The participating components in the cycle are: org.java_websocket.extensions; org.java_websocket.extensions.permessage_deflate; org.java_websocket.extensions
.,org.java_websocket.extensions.permessage_deflate,Unstable Dependency,The tool detected the smell in this component because this component depends on other components that are less stable than itself. This component depends on following less stable component(s): org.java_websocket.extensions
.,org.java_websocket.framing,Cyclic Dependency,The tool detected the smell in this component because this component participates in a cyclic dependency. The participating components in the cycle are: org.java_websocket.framing; org.java_websocket.util; org.java_websocket.framing
.,org.java_websocket.server,Unstable Dependency,The tool detected the smell in this component because this component depends on other components that are less stable than itself. This component depends on following less stable component(s): org.java_websocket; org.java_websocket.drafts
.,org.java_websocket.server,Feature Concentration,The tool detected the smell in this component because the component realizes more than one architectural concern/feature. Independent sets of related classes within this component are: [CustomSSLWebSocketServerFactory; DefaultSSLWebSocketServerFactory; SSLParametersWebSocketServerFactory; CustomSSLWebSocketServerFactoryTest; DefaultSSLWebSocketServerFactoryTest; SSLParametersWebSocketServerFactoryTest; DefaultWebSocketServerFactory; DefaultWebSocketServerFactoryTest]; [WebSocketServer; WebSocketServerTest; WebSocketServerTest.MyWebSocketServer]; [WebSocketServer.WebSocketWorker]; [AllServerTests]; [CustomSSLWebSocketServerFactoryTest.CustomWebSocketAdapter]; [DefaultSSLWebSocketServerFactoryTest.CustomWebSocketAdapter]; [DefaultWebSocketServerFactoryTest.CustomWebSocketAdapter]; [SSLParametersWebSocketServerFactoryTest.CustomWebSocketAdapter]. LCC (Lack of Component Cohesion) = 0.47
.,org.java_websocket.util,Unstable Dependency,The tool detected the smell in this component because this component depends on other components that are less stable than itself. This component depends on following less stable component(s): org.java_websocket.framing
.,org.java_websocket.util,Feature Concentration,The tool detected the smell in this component because the component realizes more than one architectural concern/feature. Independent sets of related classes within this component are: [Base64; Base64Test; KeyUtils]; [Base64.OutputStream]; [ByteBufferUtils; ByteBufferUtilsTest]; [Charsetfunctions; CharsetfunctionsTest]; [NamedThreadFactory]; [SocketUtil]; [SSLContextUtil]; [ThreadCheck]. LCC (Lack of Component Cohesion) = 0.67
.,org.java_websocket.issues,God Component,The tool detected the smell in this component because the component contains high number of classes. Number of classes in the component are: 44
.,org.java_websocket.issues,Feature Concentration,The tool detected the smell in this component because the component realizes more than one architectural concern/feature. Independent sets of related classes within this component are: [AllIssueTests]; [Issue1142Test]; [Issue1142Test.MyWebSocketServer]; [Issue1160Test]; [Issue1160Test.TestClient]; [Issue1203Test]; [Issue256Test]; [Issue580Test]; [Issue598Test]; [Issue609Test]; [Issue621Test]; [Issue621Test.TestPrintStream]; [Issue661Test]; [Issue666Test]; [Issue677Test]; [Issue713Test]; [Issue713Test.TestWebSocket]; [Issue732Test]; [Issue764Test]; [Issue764Test.MyWebSocketServer]; [Issue765Test]; [Issue765Test.MyWebSocketServer]; [Issue765Test.LocalWebSocketFactory]; [Issue811Test]; [Issue811Test.MyWebSocketServer]; [Issue825Test]; [Issue825Test.MyWebSocketServer]; [Issue834Test]; [Issue847Test]; [Issue855Test]; [Issue879Test]; [Issue879Test.SimpleServer]; [Issue879Test.SimpleClient]; [Issue890Test]; [Issue890Test.MyWebSocketServer]; [Issue890Test.TestResult]; [Issue900Test]; [Issue900Test.ExceptionThrowingByteChannel]; [Issue941Test]; [Issue962Test]; [Issue962Test.TestSocketFactory]; [Issue997Test]; [Issue997Test.SSLWebSocketClient]; [Issue997Test.SSLWebSocketServer]. LCC (Lack of Component Cohesion) = 1.0
