Project Name,Package Name,Type Name,Method Name,Implementation Smell,Cause of the Smell,Method start line no
.,(default package),SecWebSocketProtocolServerExample,main,Long Statement,The length of the statement "Draft_6455 draft_ocppOnly=new Draft_6455(Collections.<IExtension>emptyList()`Collections.<IProtocol>singletonList(new Protocol("ocpp2.0")));" is 140.,39
.,(default package),SecWebSocketProtocolServerExample,main,Magic Number,The method contains a magic number: 8887,39
.,(default package),ServerAdditionalHeaderExample,main,Empty catch clause,The method has an empty catch block.,59
.,(default package),ServerAdditionalHeaderExample,main,Magic Number,The method contains a magic number: 8887,59
.,(default package),ServerAdditionalHeaderExample,main,Magic Number,The method contains a magic number: 1000,59
.,(default package),ServerRejectHandshakeExample,main,Empty catch clause,The method has an empty catch block.,75
.,(default package),ServerRejectHandshakeExample,main,Magic Number,The method contains a magic number: 8887,75
.,(default package),ServerRejectHandshakeExample,main,Magic Number,The method contains a magic number: 1000,75
.,(default package),ServerStressTest,ServerStressTest,Magic Number,The method contains a magic number: 5000,65
.,(default package),ServerStressTest,ServerStressTest,Magic Number,The method contains a magic number: 10000,65
.,(default package),ServerStressTest,ServerStressTest,Magic Number,The method contains a magic number: 5000,65
.,(default package),ServerStressTest,ServerStressTest,Magic Number,The method contains a magic number: 300,65
.,(default package),ServerStressTest,ServerStressTest,Magic Number,The method contains a magic number: 400,65
.,(default package),ServerStressTest,ServerStressTest,Magic Number,The method contains a magic number: 10,65
.,(default package),ServerStressTest,ServerStressTest,Magic Number,The method contains a magic number: 10,65
.,(default package),ServerStressTest,ServerStressTest,Magic Number,The method contains a magic number: 10,65
.,(default package),ServerStressTest,ServerStressTest,Magic Number,The method contains a magic number: 200,65
.,(default package),ServerStressTest,ServerStressTest,Magic Number,The method contains a magic number: 1000,65
.,(default package),ServerStressTest,send,Long Statement,The length of the statement "System.out.println(websockets.size() + "/" + notyetconnected+ " clients sent \""+ payload+ "\""+ (System.currentTimeMillis() - time1));" is 135.,223
.,(default package),SSLServerCustomWebsocketFactoryExample,main,Long Statement,The length of the statement "CustomSSLWebSocketServerFactory factory=new CustomSSLWebSocketServerFactory(sslContext`protocols.toArray(new String[]{})`ciphers.toArray(new String[]{}));" is 154.,49
.,(default package),SSLServerCustomWebsocketFactoryExample,main,Magic Number,The method contains a magic number: 8887,49
.,(default package),SSLServerExample,main,Magic Number,The method contains a magic number: 8887,44
.,(default package),SSLServerLetsEncryptExample,main,Magic Number,The method contains a magic number: 8887,52
.,(default package),SSLServerLetsEncryptExample,main,Magic Number,The method contains a magic number: 30,52
.,(default package),SSLServerLetsEncryptExample,getContext,Long Statement,The length of the statement "byte[] certBytes=parseDERFromPEM(getBytes(new File(pathname + File.separator + "cert.pem"))`"-----BEGIN CERTIFICATE-----"`"-----END CERTIFICATE-----");" is 151.,64
.,(default package),SSLServerLetsEncryptExample,getContext,Long Statement,The length of the statement "byte[] keyBytes=parseDERFromPEM(getBytes(new File(pathname + File.separator + "privkey.pem"))`"-----BEGIN PRIVATE KEY-----"`"-----END PRIVATE KEY-----");" is 153.,64
.,(default package),TwoWaySSLServerExample,main,Magic Number,The method contains a magic number: 8887,50
.,org.java_websocket,AbstractWebSocket,restartConnectionLostTimer,Empty catch clause,The method has an empty catch block.,177
.,org.java_websocket,AbstractWebSocket,restartConnectionLostTimer,Long Statement,The length of the statement "connectionLostCheckerService=Executors.newSingleThreadScheduledExecutor(new NamedThreadFactory("connectionLostChecker"));" is 121.,177
.,org.java_websocket,AbstractWebSocket,restartConnectionLostTimer,Long Statement,The length of the statement "connectionLostCheckerFuture=connectionLostCheckerService.scheduleAtFixedRate(connectionLostChecker`connectionLostTimeout`connectionLostTimeout`TimeUnit.NANOSECONDS);" is 165.,177
.,org.java_websocket,AbstractWebSocket,restartConnectionLostTimer,Magic Number,The method contains a magic number: 1.5,177
.,org.java_websocket,AbstractWebSocket,run,Empty catch clause,The method has an empty catch block.,193
.,org.java_websocket,AbstractWebSocket,run,Magic Number,The method contains a magic number: 1.5,193
.,org.java_websocket,AbstractWebSocket,executeConnectionLostDetection,Long Statement,The length of the statement "webSocketImpl.closeConnection(CloseFrame.ABNORMAL_CLOSE`"The connection was closed because the other endpoint did not respond with a pong in time. For more information check: https://github.com/TooTallNate/Java-WebSocket/wiki/Lost-connection-detection");" is 254.,217
.,org.java_websocket,SocketChannelIOHelper,batch,Complex Conditional,The conditional expression ws.outQueue.isEmpty() && ws.isFlushAndClose() && ws.getDraft() != null && ws.getDraft().getRole() != null && ws.getDraft().getRole() == Role.SERVER is complex.,74
.,org.java_websocket,SocketChannelIOHelper,batch,Complex Method,Cyclomatic complexity of the method is 8,74
.,org.java_websocket,SocketChannelIOHelper,batch,Long Statement,The length of the statement "if (ws.outQueue.isEmpty() && ws.isFlushAndClose() && ws.getDraft() != null && ws.getDraft().getRole() != null && ws.getDraft().getRole() == Role.SERVER) {" is 154.,74
.,org.java_websocket,SSLSocketChannel,SSLSocketChannel,Complex Conditional,The conditional expression inputSocketChannel == null || inputEngine == null || executor == inputExecutor is complex.,131
.,org.java_websocket,SSLSocketChannel,read,Complex Method,Cyclomatic complexity of the method is 10,156
.,org.java_websocket,SSLSocketChannel,read,Missing default,The following switch statement is missing a default case: !org.eclipse.jdt.core.dom.SwitchStatement@7270898e,156
.,org.java_websocket,SSLSocketChannel,write,Missing default,The following switch statement is missing a default case: !org.eclipse.jdt.core.dom.SwitchStatement@309c259f,207
.,org.java_websocket,SSLSocketChannel,doHandshake,Complex Method,Cyclomatic complexity of the method is 22,238
.,org.java_websocket,SSLSocketChannel,doHandshake,Empty catch clause,The method has an empty catch block.,238
.,org.java_websocket,SSLSocketChannel,doHandshake,Missing default,The following switch statement is missing a default case: !org.eclipse.jdt.core.dom.SwitchStatement@3d3a8905,238
.,org.java_websocket,SSLSocketChannel,doHandshake,Missing default,The following switch statement is missing a default case: !org.eclipse.jdt.core.dom.SwitchStatement@3d6e108e,238
.,org.java_websocket,SSLSocketChannel,doHandshake,Missing default,The following switch statement is missing a default case: !org.eclipse.jdt.core.dom.SwitchStatement@4ba4c254,238
.,org.java_websocket,SSLSocketChannel,enlargeBuffer,Magic Number,The method contains a magic number: 2,419
.,org.java_websocket,SSLSocketChannel,closeConnection,Empty catch clause,The method has an empty catch block.,460
.,org.java_websocket,SSLSocketChannel,handleEndOfStream,Long Statement,The length of the statement "log.error("This engine was forced to close inbound` without having received the proper SSL/TLS close notification message from the peer` due to end of stream.");" is 161.,480
.,org.java_websocket,SSLSocketChannel2,SSLSocketChannel2,Complex Conditional,The conditional expression channel == null || sslEngine == null || exec == null is complex.,108
.,org.java_websocket,SSLSocketChannel2,SSLSocketChannel2,Magic Number,The method contains a magic number: 3,108
.,org.java_websocket,SSLSocketChannel2,processHandshake,Complex Method,Cyclomatic complexity of the method is 12,147
.,org.java_websocket,SSLSocketChannel2,unwrap,Empty catch clause,The method has an empty catch block.,208
.,org.java_websocket,SSLSocketChannel2,unwrap,Long Statement,The length of the statement "if (readEngineResult.getStatus() == SSLEngineResult.Status.CLOSED && sslEngine.getHandshakeStatus() == HandshakeStatus.NOT_HANDSHAKING) {" is 137.,208
.,org.java_websocket,SSLSocketChannel2,unwrap,Long Statement,The length of the statement "while (readEngineResult.getStatus() == SSLEngineResult.Status.OK && (rem != inData.remaining() || sslEngine.getHandshakeStatus() == HandshakeStatus.NEED_UNWRAP));" is 162.,208
.,org.java_websocket,SSLSocketChannel2,read,Complex Method,Cyclomatic complexity of the method is 12,291
.,org.java_websocket,SSLSocketChannel2,isNeedRead,Long Statement,The length of the statement "return saveCryptData != null || inData.hasRemaining() || (inCrypt.hasRemaining() && readEngineResult.getStatus() != Status.BUFFER_UNDERFLOW && readEngineResult.getStatus() != Status.CLOSED);" is 190.,439
.,org.java_websocket,WebSocketImpl,WebSocketImpl,Complex Conditional,The conditional expression listener == null || (draft == null && role == Role.SERVER) is complex.,200
.,org.java_websocket,WebSocketImpl,decode,Complex Conditional,The conditional expression decodeHandshake(socketBuffer) && (!isClosing() && !isClosed()) is complex.,220
.,org.java_websocket,WebSocketImpl,decode,Long Statement,The length of the statement "log.trace("process({}): ({})"`socketBuffer.remaining()`(socketBuffer.remaining() > 1000 ? "too big to display" : new String(socketBuffer.array()`socketBuffer.position()`socketBuffer.remaining())));" is 197.,220
.,org.java_websocket,WebSocketImpl,decode,Magic Number,The method contains a magic number: 1000,220
.,org.java_websocket,WebSocketImpl,decodeHandshake,Complex Method,Cyclomatic complexity of the method is 16,249
.,org.java_websocket,WebSocketImpl,decodeHandshake,Empty catch clause,The method has an empty catch block.,249
.,org.java_websocket,WebSocketImpl,decodeHandshake,Long Method,The method has 146 lines of code.,249
.,org.java_websocket,WebSocketImpl,decodeHandshake,Magic Number,The method contains a magic number: 16,249
.,org.java_websocket,WebSocketImpl,closeConnectionDueToWrongHandshake,Magic Number,The method contains a magic number: 404,426
.,org.java_websocket,WebSocketImpl,closeConnectionDueToInternalServerError,Magic Number,The method contains a magic number: 500,436
.,org.java_websocket,WebSocketImpl,generateHttpResponseDueToError,Magic Number,The method contains a magic number: 404,446
.,org.java_websocket,WebSocketImpl,generateHttpResponseDueToError,Magic Number,The method contains a magic number: 500,446
.,org.java_websocket,WebSocketImpl,generateHttpResponseDueToError,Magic Number,The method contains a magic number: 48,446
.,org.java_websocket,WebSocketImpl,generateHttpResponseDueToError,Missing default,The following switch statement is missing a default case: !org.eclipse.jdt.core.dom.SwitchStatement@1ac5a662,446
.,org.java_websocket,WebSocketImpl,close,Complex Method,Cyclomatic complexity of the method is 9,468
.,org.java_websocket,WebSocketImpl,closeConnection,Complex Method,Cyclomatic complexity of the method is 8,519
.,org.java_websocket,WebSocketImpl,write,Magic Number,The method contains a magic number: 1000,741
.,org.java_websocket.client,WebSocketClient,reset,Long Statement,The length of the statement "throw new IllegalStateException("You cannot initialize a reconnect out of the websocket thread. Use reconnect in another thread to ensure a successful cleanup.");" is 162.,331
.,org.java_websocket.client,WebSocketClient,run,Long Statement,The length of the statement "InetSocketAddress addr=dnsResolver == null ? InetSocketAddress.createUnresolved(uri.getHost()`getPort()) : new InetSocketAddress(dnsResolver.resolve(uri)`this.getPort());" is 170.,463
.,org.java_websocket.client,WebSocketClient,sendHandshake,Long Statement,The length of the statement "String host=uri.getHost() + ((port != WebSocketImpl.DEFAULT_PORT && port != WebSocketImpl.DEFAULT_WSS_PORT) ? ":" + port : "");" is 127.,590
.,org.java_websocket.client,SchemaCheckTest,testSchemaCheck,Long Statement,The length of the statement "final String[] invalidCase={"http://localhost:80"`"http://localhost:81"`"http://localhost"`"https://localhost:443"`"https://localhost:444"`"https://localhost"`"any://localhost"`"any://localhost:82"};" is 199.,13
.,org.java_websocket.client,SchemaCheckTest,testSchemaCheck,Long Statement,The length of the statement "final String[] validCase={"ws://localhost"`"ws://localhost:80"`"ws://localhost:81"`"wss://localhost"`"wss://localhost:443"`"wss://localhost:444"};" is 146.,13
.,org.java_websocket.drafts,Draft,readLine,Magic Number,The method contains a magic number: 2,70
.,org.java_websocket.drafts,Draft,translateHandshakeHttp,Complex Method,Cyclomatic complexity of the method is 8,95
.,org.java_websocket.drafts,Draft,translateHandshakeHttp,Magic Number,The method contains a magic number: 128,95
.,org.java_websocket.drafts,Draft,translateHandshakeHttp,Magic Number,The method contains a magic number: 3,95
.,org.java_websocket.drafts,Draft,translateHandshakeHttp,Magic Number,The method contains a magic number: 3,95
.,org.java_websocket.drafts,Draft,translateHandshakeHttp,Magic Number,The method contains a magic number: 2,95
.,org.java_websocket.drafts,Draft,translateHandshakeHttp,Magic Number,The method contains a magic number: 2,95
.,org.java_websocket.drafts,Draft,translateHandshakeHttpServer,Long Statement,The length of the statement "throw new InvalidHandshakeException(String.format("Invalid request method received: %s Status line: %s"`firstLineTokens[0]`line));" is 130.,134
.,org.java_websocket.drafts,Draft,translateHandshakeHttpServer,Long Statement,The length of the statement "throw new InvalidHandshakeException(String.format("Invalid status line received: %s Status line: %s"`firstLineTokens[2]`line));" is 127.,134
.,org.java_websocket.drafts,Draft,translateHandshakeHttpServer,Magic Number,The method contains a magic number: 2,134
.,org.java_websocket.drafts,Draft,translateHandshakeHttpServer,Magic Number,The method contains a magic number: 2,134
.,org.java_websocket.drafts,Draft,translateHandshakeHttpClient,Long Statement,The length of the statement "throw new InvalidHandshakeException(String.format("Invalid status code received: %s Status line: %s"`firstLineTokens[1]`line));" is 127.,157
.,org.java_websocket.drafts,Draft,translateHandshakeHttpClient,Long Statement,The length of the statement "throw new InvalidHandshakeException(String.format("Invalid status line received: %s Status line: %s"`firstLineTokens[0]`line));" is 127.,157
.,org.java_websocket.drafts,Draft,translateHandshakeHttpClient,Magic Number,The method contains a magic number: 2,157
.,org.java_websocket.drafts,Draft,basicAccept,Long Statement,The length of the statement "return handshakedata.getFieldValue("Upgrade").equalsIgnoreCase("websocket") && handshakedata.getFieldValue("Connection").toLowerCase(Locale.ENGLISH).contains("upgrade");" is 169.,188
.,org.java_websocket.drafts,Draft,createHandshake,Magic Number,The method contains a magic number: 100,264
.,org.java_websocket.drafts,Draft_6455,Draft_6455,Complex Conditional,The conditional expression inputExtensions == null || inputProtocols == null || inputMaxFrameSize < 1 is complex.,227
.,org.java_websocket.drafts,Draft_6455,acceptHandshakeAsServer,Magic Number,The method contains a magic number: 13,261
.,org.java_websocket.drafts,Draft_6455,postProcessHandshakeRequestAsClient,Complex Method,Cyclomatic complexity of the method is 9,394
.,org.java_websocket.drafts,Draft_6455,postProcessHandshakeRequestAsClient,Long Statement,The length of the statement "if (knownExtension.getProvidedExtensionAsClient() != null && knownExtension.getProvidedExtensionAsClient().length() != 0) {" is 123.,394
.,org.java_websocket.drafts,Draft_6455,postProcessHandshakeRequestAsClient,Magic Number,The method contains a magic number: 16,394
.,org.java_websocket.drafts,Draft_6455,createBinaryFrame,Long Statement,The length of the statement "log.trace("afterEnconding({}): {}"`framedata.getPayloadData().remaining()`(framedata.getPayloadData().remaining() > 1000 ? "too big to display" : new String(framedata.getPayloadData().array())));" is 195.,467
.,org.java_websocket.drafts,Draft_6455,createBinaryFrame,Magic Number,The method contains a magic number: 1000,467
.,org.java_websocket.drafts,Draft_6455,createByteBufferFromFramedata,Complex Method,Cyclomatic complexity of the method is 9,478
.,org.java_websocket.drafts,Draft_6455,createByteBufferFromFramedata,Magic Number,The method contains a magic number: 4,478
.,org.java_websocket.drafts,Draft_6455,createByteBufferFromFramedata,Magic Number,The method contains a magic number: 128,478
.,org.java_websocket.drafts,Draft_6455,createByteBufferFromFramedata,Magic Number,The method contains a magic number: 2,478
.,org.java_websocket.drafts,Draft_6455,createByteBufferFromFramedata,Magic Number,The method contains a magic number: 3,478
.,org.java_websocket.drafts,Draft_6455,createByteBufferFromFramedata,Magic Number,The method contains a magic number: 2,478
.,org.java_websocket.drafts,Draft_6455,createByteBufferFromFramedata,Magic Number,The method contains a magic number: 126,478
.,org.java_websocket.drafts,Draft_6455,createByteBufferFromFramedata,Magic Number,The method contains a magic number: 8,478
.,org.java_websocket.drafts,Draft_6455,createByteBufferFromFramedata,Magic Number,The method contains a magic number: 127,478
.,org.java_websocket.drafts,Draft_6455,createByteBufferFromFramedata,Magic Number,The method contains a magic number: 4,478
.,org.java_websocket.drafts,Draft_6455,createByteBufferFromFramedata,Magic Number,The method contains a magic number: 4,478
.,org.java_websocket.drafts,Draft_6455,translateSingleFrame,Complex Conditional,The conditional expression frame.isRSV1() || frame.isRSV2() || frame.isRSV3() is complex.,528
.,org.java_websocket.drafts,Draft_6455,translateSingleFrame,Complex Method,Cyclomatic complexity of the method is 9,528
.,org.java_websocket.drafts,Draft_6455,translateSingleFrame,Long Statement,The length of the statement "TranslatedPayloadMetaData payloadData=translateSingleFramePayloadLength(buffer`optcode`payloadlength`maxpacketsize`realpacketsize);" is 131.,528
.,org.java_websocket.drafts,Draft_6455,translateSingleFrame,Long Statement,The length of the statement "log.trace("afterDecoding({}): {}"`frame.getPayloadData().remaining()`(frame.getPayloadData().remaining() > 1000 ? "too big to display" : new String(frame.getPayloadData().array())));" is 182.,528
.,org.java_websocket.drafts,Draft_6455,translateSingleFrame,Magic Number,The method contains a magic number: 2,528
.,org.java_websocket.drafts,Draft_6455,translateSingleFrame,Magic Number,The method contains a magic number: 8,528
.,org.java_websocket.drafts,Draft_6455,translateSingleFrame,Magic Number,The method contains a magic number: 0x40,528
.,org.java_websocket.drafts,Draft_6455,translateSingleFrame,Magic Number,The method contains a magic number: 0x20,528
.,org.java_websocket.drafts,Draft_6455,translateSingleFrame,Magic Number,The method contains a magic number: 0x10,528
.,org.java_websocket.drafts,Draft_6455,translateSingleFrame,Magic Number,The method contains a magic number: 128,528
.,org.java_websocket.drafts,Draft_6455,translateSingleFrame,Magic Number,The method contains a magic number: 128,528
.,org.java_websocket.drafts,Draft_6455,translateSingleFrame,Magic Number,The method contains a magic number: 15,528
.,org.java_websocket.drafts,Draft_6455,translateSingleFrame,Magic Number,The method contains a magic number: 125,528
.,org.java_websocket.drafts,Draft_6455,translateSingleFrame,Magic Number,The method contains a magic number: 4,528
.,org.java_websocket.drafts,Draft_6455,translateSingleFrame,Magic Number,The method contains a magic number: 4,528
.,org.java_websocket.drafts,Draft_6455,translateSingleFrame,Magic Number,The method contains a magic number: 4,528
.,org.java_websocket.drafts,Draft_6455,translateSingleFrame,Magic Number,The method contains a magic number: 1000,528
.,org.java_websocket.drafts,Draft_6455,translateSingleFramePayloadLength,Complex Conditional,The conditional expression optcode == Opcode.PING || optcode == Opcode.PONG || optcode == Opcode.CLOSING is complex.,599
.,org.java_websocket.drafts,Draft_6455,translateSingleFramePayloadLength,Long Parameter List,The method has 5 parameters. ,599
.,org.java_websocket.drafts,Draft_6455,translateSingleFramePayloadLength,Magic Number,The method contains a magic number: 126,599
.,org.java_websocket.drafts,Draft_6455,translateSingleFramePayloadLength,Magic Number,The method contains a magic number: 2,599
.,org.java_websocket.drafts,Draft_6455,translateSingleFramePayloadLength,Magic Number,The method contains a magic number: 3,599
.,org.java_websocket.drafts,Draft_6455,translateSingleFramePayloadLength,Magic Number,The method contains a magic number: 2,599
.,org.java_websocket.drafts,Draft_6455,translateSingleFramePayloadLength,Magic Number,The method contains a magic number: 8,599
.,org.java_websocket.drafts,Draft_6455,translateSingleFramePayloadLength,Magic Number,The method contains a magic number: 8,599
.,org.java_websocket.drafts,Draft_6455,translateSingleFramePayloadLength,Magic Number,The method contains a magic number: 8,599
.,org.java_websocket.drafts,Draft_6455,getRSVByte,Magic Number,The method contains a magic number: 0x40,678
.,org.java_websocket.drafts,Draft_6455,getRSVByte,Magic Number,The method contains a magic number: 2,678
.,org.java_websocket.drafts,Draft_6455,getRSVByte,Magic Number,The method contains a magic number: 0x20,678
.,org.java_websocket.drafts,Draft_6455,getRSVByte,Magic Number,The method contains a magic number: 3,678
.,org.java_websocket.drafts,Draft_6455,getRSVByte,Magic Number,The method contains a magic number: 0x10,678
.,org.java_websocket.drafts,Draft_6455,getRSVByte,Missing default,The following switch statement is missing a default case: !org.eclipse.jdt.core.dom.SwitchStatement@1d4760eb,678
.,org.java_websocket.drafts,Draft_6455,getMaskByte,Magic Number,The method contains a magic number: 128,698
.,org.java_websocket.drafts,Draft_6455,getSizeBytes,Magic Number,The method contains a magic number: 125,708
.,org.java_websocket.drafts,Draft_6455,getSizeBytes,Magic Number,The method contains a magic number: 65535,708
.,org.java_websocket.drafts,Draft_6455,getSizeBytes,Magic Number,The method contains a magic number: 2,708
.,org.java_websocket.drafts,Draft_6455,getSizeBytes,Magic Number,The method contains a magic number: 8,708
.,org.java_websocket.drafts,Draft_6455,toByteArray,Magic Number,The method contains a magic number: 8,844
.,org.java_websocket.drafts,Draft_6455,toByteArray,Magic Number,The method contains a magic number: 8,844
.,org.java_websocket.drafts,Draft_6455,toByteArray,Magic Number,The method contains a magic number: 8,844
.,org.java_websocket.drafts,Draft_6455,fromOpcode,Magic Number,The method contains a magic number: 2,854
.,org.java_websocket.drafts,Draft_6455,fromOpcode,Magic Number,The method contains a magic number: 8,854
.,org.java_websocket.drafts,Draft_6455,fromOpcode,Magic Number,The method contains a magic number: 9,854
.,org.java_websocket.drafts,Draft_6455,fromOpcode,Magic Number,The method contains a magic number: 10,854
.,org.java_websocket.drafts,Draft_6455,toOpcode,Magic Number,The method contains a magic number: 2,871
.,org.java_websocket.drafts,Draft_6455,toOpcode,Magic Number,The method contains a magic number: 8,871
.,org.java_websocket.drafts,Draft_6455,toOpcode,Magic Number,The method contains a magic number: 9,871
.,org.java_websocket.drafts,Draft_6455,toOpcode,Magic Number,The method contains a magic number: 10,871
.,org.java_websocket.drafts,Draft_6455,toOpcode,Missing default,The following switch statement is missing a default case: !org.eclipse.jdt.core.dom.SwitchStatement@71c8d32a,871
.,org.java_websocket.drafts,Draft_6455,processFrame,Complex Method,Cyclomatic complexity of the method is 8,892
.,org.java_websocket.drafts,Draft_6455,processFrameText,Long Statement,The length of the statement "webSocketImpl.getWebSocketListener().onWebsocketMessage(webSocketImpl`Charsetfunctions.stringUtf8(frame.getPayloadData()));" is 123.,976
.,org.java_websocket.drafts,Draft_6455,processFrameIsFin,Long Statement,The length of the statement "webSocketImpl.getWebSocketListener().onWebsocketMessage(webSocketImpl`Charsetfunctions.stringUtf8(currentContinuousFrame.getPayloadData()));" is 140.,992
.,org.java_websocket.drafts,Draft_6455,hashCode,Magic Number,The method contains a magic number: 31,1148
.,org.java_websocket.drafts,Draft_6455,hashCode,Magic Number,The method contains a magic number: 31,1148
.,org.java_websocket.drafts,Draft_6455,hashCode,Magic Number,The method contains a magic number: 32,1148
.,org.java_websocket.drafts,Draft_6455Test,Draft_6455Test,Long Identifier,The length of the field handshakedataProtocolExtension is 30.,61
.,org.java_websocket.drafts,Draft_6455Test,testConstructor,Empty catch clause,The method has an empty catch block.,84
.,org.java_websocket.drafts,Draft_6455Test,testConstructor,Empty catch clause,The method has an empty catch block.,84
.,org.java_websocket.drafts,Draft_6455Test,testConstructor,Empty catch clause,The method has an empty catch block.,84
.,org.java_websocket.drafts,Draft_6455Test,testConstructor,Empty catch clause,The method has an empty catch block.,84
.,org.java_websocket.drafts,Draft_6455Test,testConstructor,Empty catch clause,The method has an empty catch block.,84
.,org.java_websocket.drafts,Draft_6455Test,testGetKnownExtensions,Magic Number,The method contains a magic number: 2,131
.,org.java_websocket.drafts,Draft_6455Test,testGetProtocol,Long Identifier,The length of the field handshakedataProtocolExtension is 30.,141
.,org.java_websocket.drafts,Draft_6455Test,testGetProtocol,Long Statement,The length of the statement "draft_6455=new Draft_6455(Collections.<IExtension>emptyList()`Collections.<IProtocol>singletonList(new Protocol("chat")));" is 122.,141
.,org.java_websocket.drafts,Draft_6455Test,testGetKnownProtocols,Long Statement,The length of the statement "draft_6455=new Draft_6455(Collections.<IExtension>emptyList()`Collections.<IProtocol>singletonList(new Protocol("chat")));" is 122.,155
.,org.java_websocket.drafts,Draft_6455Test,testGetKnownProtocols,Magic Number,The method contains a magic number: 2,155
.,org.java_websocket.drafts,Draft_6455Test,testCopyInstance,Long Identifier,The length of the field handshakedataProtocolExtension is 30.,172
.,org.java_websocket.drafts,Draft_6455Test,testCopyInstance,Long Statement,The length of the statement "Draft_6455 draft_6455=new Draft_6455(Collections.<IExtension>singletonList(new TestExtension())`Collections.<IProtocol>singletonList(new Protocol("chat")));" is 156.,172
.,org.java_websocket.drafts,Draft_6455Test,testReset,Long Identifier,The length of the field handshakedataProtocolExtension is 30.,186
.,org.java_websocket.drafts,Draft_6455Test,testReset,Magic Number,The method contains a magic number: 100,186
.,org.java_websocket.drafts,Draft_6455Test,testToString,Long Identifier,The length of the field handshakedataProtocolExtension is 30.,207
.,org.java_websocket.drafts,Draft_6455Test,testToString,Long Statement,The length of the statement "draft_6455=new Draft_6455(Collections.<IExtension>emptyList()`Collections.<IProtocol>singletonList(new Protocol("chat")));" is 122.,207
.,org.java_websocket.drafts,Draft_6455Test,testToString,Long Statement,The length of the statement "draft_6455=new Draft_6455(Collections.<IExtension>singletonList(new TestExtension())`Collections.<IProtocol>singletonList(new Protocol("chat")));" is 145.,207
.,org.java_websocket.drafts,Draft_6455Test,testToString,Long Statement,The length of the statement "draft_6455=new Draft_6455(Collections.<IExtension>emptyList()`Collections.<IProtocol>singletonList(new Protocol("chat"))`10);" is 125.,207
.,org.java_websocket.drafts,Draft_6455Test,testToString,Magic Number,The method contains a magic number: 10,207
.,org.java_websocket.drafts,Draft_6455Test,testEquals,Long Identifier,The length of the field handshakedataProtocolExtension is 30.,238
.,org.java_websocket.drafts,Draft_6455Test,testEquals,Long Statement,The length of the statement "Draft draft2=new Draft_6455(Collections.<IExtension>emptyList()`Collections.<IProtocol>singletonList(new Protocol("chat")));" is 124.,238
.,org.java_websocket.drafts,Draft_6455Test,testHashCode,Long Identifier,The length of the field handshakedataProtocolExtension is 30.,280
.,org.java_websocket.drafts,Draft_6455Test,testHashCode,Long Statement,The length of the statement "Draft draft2=new Draft_6455(Collections.<IExtension>emptyList()`Collections.<IProtocol>singletonList(new Protocol("chat")));" is 124.,280
.,org.java_websocket.drafts,Draft_6455Test,acceptHandshakeAsServer,Long Identifier,The length of the field handshakedataProtocolExtension is 30.,324
.,org.java_websocket.drafts,Draft_6455Test,acceptHandshakeAsServer,Long Statement,The length of the statement "draft_6455=new Draft_6455(Collections.<IExtension>emptyList()`Collections.<IProtocol>singletonList(new Protocol("chat")));" is 122.,324
.,org.java_websocket.drafts,Draft_6455Test,acceptHandshakeAsClient,Long Statement,The length of the statement "draft_6455=new Draft_6455(Collections.<IExtension>emptyList()`Collections.<IProtocol>singletonList(new Protocol("chat")));" is 122.,360
.,org.java_websocket.drafts,Draft_6455Test,postProcessHandshakeResponseAsServer,Empty catch clause,The method has an empty catch block.,428
.,org.java_websocket.drafts,Draft_6455Test,postProcessHandshakeResponseAsServer,Long Identifier,The length of the field handshakedataProtocolExtension is 30.,428
